Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDG46,OUT018,1573.25
DRC01,OUT010,-1088.75
FDB15,OUT027,5603.25
NCA17,OUT027,3795.25
FDF10,OUT046,2407.25
FDR26,OUT027,4291.25
FDI02,OUT049,1929.25
NCM54,OUT010,67.25
FDF14,OUT013,2427.75
FDJ33,OUT010,63.25
FDM20,OUT035,4043.25
FDC03,OUT027,4595.25
NCX05,OUT046,1823.25
NCM41,OUT027,2883.25
NCU29,OUT010,395.25
FDQ59,OUT017,1515.25
FDH46,OUT010,-228.75
FDH09,OUT013,859.75
NCD06,OUT045,673.5
FDC15,OUT035,2619.25
DRD37,OUT027,2179.25
FDT28,OUT027,3843.25
FDR28,OUT027,4099.25
FDT38,OUT017,1523.25
FDV34,OUT027,2739.25
FDY52,OUT035,1211.25
FDB34,OUT013,1411.75
DRL23,OUT018,1373.25
DRB24,OUT046,2447.25
FDJ50,OUT046,927.25
FDQ49,OUT035,2659.25
FDP20,OUT035,2155.25
FDV19,OUT027,4035.25
NCR54,OUT045,3001.5
FDO09,OUT010,2223.25
FDS57,OUT018,1993.25
FDN10,OUT049,1993.25
FDV23,OUT049,2105.25
FDY28,OUT049,3513.25
DRG51,OUT013,2555.75
FDD45,OUT019,-372.75
NCL18,OUT027,4435.25
NCM29,OUT013,2043.75
FDF17,OUT027,4579.25
FDE22,OUT017,2699.25
FDQ22,OUT017,771.25
FDS01,OUT013,2867.75
FDW35,OUT027,2179.25
FDJ33,OUT046,2047.25
NCF54,OUT035,2827.25
FDE09,OUT013,1787.75
NCE06,OUT045,2457.5
DRH49,OUT049,1369.25
FDY43,OUT045,2657.5
NCT05,OUT017,4091.25
FDZ34,OUT045,3001.5
FDL38,OUT017,1587.25
FDZ31,OUT017,3163.25
FDR14,OUT035,1075.25
NCN54,OUT049,1321.25
NCC42,OUT027,3635.25
FDK08,OUT017,1763.25
FDP59,OUT013,1747.75
FDV22,OUT035,2707.25
FDD33,OUT035,3851.25
DRE60,OUT027,4995.25
FDK52,OUT046,3607.25
FDA02,OUT017,2499.25
FDM56,OUT049,1865.25
FDE57,OUT035,2427.25
FDM32,OUT045,1401.5
NCQ30,OUT027,3347.25
FDQ27,OUT027,3187.25
FDT60,OUT027,3459.25
FDU43,OUT049,3929.25
NCO55,OUT035,1811.25
FDG02,OUT045,2993.5
FDJ28,OUT013,3043.75
FDP40,OUT045,1801.5
FDJ38,OUT045,3017.5
NCC54,OUT017,3867.25
NCZ41,OUT046,1967.25
FDK38,OUT019,507.25
FDU52,OUT013,2483.75
FDC40,OUT046,1303.25
NCR30,OUT017,1275.25
NCN18,OUT017,1851.25
FDB50,OUT035,1427.25
FDG04,OUT013,3003.75
FDR26,OUT035,2979.25
NCT17,OUT018,2645.25
FDX35,OUT027,5075.25
FDS12,OUT046,2047.25
NCZ29,OUT027,3411.25
FDB38,OUT010,695.25
FDP12,OUT013,691.75
FDP22,OUT046,919.25
FDS26,OUT018,3825.25
FDR52,OUT046,3103.25
DRJ13,OUT046,2543.25
FDU48,OUT027,3555.25
FDE29,OUT035,1147.25
NCT29,OUT049,1993.25
DRK37,OUT018,2669.25
FDK55,OUT046,1447.25
FDR07,OUT046,1567.25
FDO21,OUT027,5059.25
FDK46,OUT049,4217.25
FDB12,OUT045,1673.5
FDT31,OUT027,4467.25
FDJ33,OUT045,1985.5
FDC26,OUT027,3219.25
NCQ02,OUT045,2889.5
FDP08,OUT010,1171.25
FDB11,OUT027,5027.25
FDV55,OUT013,2339.75
FDW20,OUT049,2057.25
NCJ18,OUT019,-28.75
FDC41,OUT018,941.25
FDE14,OUT027,3139.25
FDG35,OUT013,2843.75
FDF45,OUT035,1155.25
FDS19,OUT027,2755.25
FDS58,OUT019,723.25
FDA26,OUT017,3643.25
FDM32,OUT049,1529.25
FDL45,OUT046,2055.25
FDZ55,OUT049,2649.25
FDY37,OUT049,2409.25
FDO46,OUT046,3095.25
FDQ60,OUT046,1975.25
FDA19,OUT018,1805.25
FDL15,OUT046,2479.25
FDM10,OUT018,3081.25
NCL05,OUT017,779.25
DRK49,OUT010,-1244.75
NCE18,OUT027,5363.25
FDG40,OUT049,697.25
DRI59,OUT045,3425.5
FDK28,OUT035,4211.25
NCD06,OUT019,-1164.75
FDO11,OUT019,2131.25
FDK27,OUT046,1951.25
FDT43,OUT027,2307.25
FDD38,OUT018,1405.25
FDA16,OUT049,3593.25
FDL14,OUT027,3955.25
NCM17,OUT049,777.25
FDD20,OUT045,1945.5
FDA40,OUT045,1417.5
FDL43,OUT045,1233.5
FDV15,OUT045,1601.5
FDE52,OUT046,1519.25
NCL17,OUT010,319.25
NCJ31,OUT045,3649.5
FDR60,OUT045,1225.5
NCA18,OUT035,1963.25
FDS21,OUT027,2547.25
FDW09,OUT035,1483.25
FDL26,OUT035,2619.25
FDS47,OUT018,1145.25
FDC39,OUT046,3279.25
FDT51,OUT035,1995.25
FDK40,OUT035,4323.25
NCG19,OUT045,3601.5
FDZ07,OUT046,1079.25
FDF08,OUT027,2931.25
FDO04,OUT013,931.75
FDK41,OUT018,1061.25
FDP15,OUT049,4137.25
NCD43,OUT018,1349.25
NCP18,OUT013,2323.75
FDZ51,OUT046,1575.25
DRH13,OUT035,1867.25
FDF38,OUT045,681.5
NCI43,OUT045,721.5
FDM38,OUT027,2403.25
FDS03,OUT013,1075.75
DRJ47,OUT017,2803.25
FDT50,OUT010,-312.75
FDV02,OUT046,2767.25
NCG18,OUT017,1739.25
FDW52,OUT046,2687.25
FDS40,OUT035,787.25
FDN31,OUT017,3155.25
FDA37,OUT045,1969.5
FDA15,OUT046,3983.25
FDL39,OUT046,2935.25
FDJ53,OUT045,1913.5
FDX22,OUT013,3395.75
NCZ42,OUT045,3673.5
FDD56,OUT027,4291.25
FDD40,OUT017,3227.25
FDS50,OUT013,3499.75
NCN14,OUT013,2867.75
FDT15,OUT013,2963.75
NCS18,OUT027,3139.25
NCO26,OUT010,-136.75
FDF58,OUT018,741.25
NCB19,OUT013,1347.75
FDH26,OUT017,2411.25
DRB24,OUT027,3859.25
FDA49,OUT018,1113.25
FDB32,OUT045,1505.5
FDI36,OUT017,3275.25
NCA17,OUT010,403.25
FDH22,OUT013,2003.75
NCM26,OUT018,2097.25
FDT15,OUT027,4403.25
FDB16,OUT018,1133.25
NCP54,OUT027,3379.25
FDJ36,OUT013,1683.75
FDO28,OUT045,1881.5
FDU09,OUT013,955.75
FDF29,OUT017,2227.25
FDY08,OUT013,2275.75
DRJ59,OUT018,309.25
FDT23,OUT027,2787.25
FDU15,OUT018,405.25
FDT47,OUT013,1627.75
FDI53,OUT019,763.25
FDR59,OUT018,3889.25
FDD53,OUT035,851.25
FDY51,OUT017,3595.25
FDT04,OUT049,745.25
FDU51,OUT049,2937.25
FDG14,OUT035,2619.25
NCU06,OUT045,3545.5
DRG25,OUT046,2935.25
DRH49,OUT035,1483.25
FDN15,OUT035,2387.25
FDL43,OUT018,969.25
NCT18,OUT049,2937.25
NCB31,OUT013,4059.75
FDK57,OUT035,2075.25
FDY04,OUT019,771.25
NCP54,OUT046,1911.25
FDF41,OUT013,3859.75
FDM01,OUT045,1641.5
FDW03,OUT045,1689.5
FDF28,OUT045,1961.5
FDY37,OUT017,2427.25
FDQ03,OUT017,3899.25
FDP51,OUT027,3411.25
FDJ40,OUT017,1947.25
FDC32,OUT049,1609.25
DRI49,OUT027,2723.25
NCW54,OUT017,979.25
FDF09,OUT017,779.25
FDP45,OUT018,3713.25
DRJ23,OUT018,2637.25
FDS59,OUT017,1947.25
FDY08,OUT046,2263.25
FDX16,OUT049,2457.25
FDY16,OUT018,2673.25
FDK32,OUT035,2635.25
FDQ22,OUT013,683.75
NCC31,OUT018,2145.25
FDG58,OUT049,2585.25
DRF48,OUT013,2963.75
DRH36,OUT049,1257.25
NCR30,OUT035,1323.25
FDB03,OUT019,1971.25
FDZ28,OUT027,3523.25
FDR35,OUT017,3275.25
DRD15,OUT027,5091.25
FDJ33,OUT019,155.25
FDA56,OUT010,31.25
FDP56,OUT046,831.25
NCT30,OUT046,767.25
FDK15,OUT017,1739.25
FDH44,OUT018,2097.25
FDV01,OUT013,2507.75
DRG03,OUT017,2507.25
FDG50,OUT027,2915.25
FDR16,OUT010,1515.25
FDZ60,OUT046,1743.25
DRG03,OUT045,2361.5
FDS56,OUT018,3925.25
FDU33,OUT045,745.5
DRD27,OUT035,1723.25
FDW22,OUT046,3599.25
DRA24,OUT045,2545.5
FDF38,OUT049,809.25
FDX48,OUT013,2507.75
FDS58,OUT018,2321.25
FDC32,OUT046,1519.25
NCQ29,OUT045,4017.5
DRK39,OUT018,1037.25
NCS38,OUT017,1891.25
DRO47,OUT013,1755.75
DRG27,OUT027,2115.25
FDC57,OUT027,4531.25
FDS55,OUT046,2367.25
NCJ06,OUT018,1577.25
FDO01,OUT019,259.25
NCM55,OUT045,2841.5
FDC52,OUT049,2569.25
FDQ15,OUT045,1281.5
NCT30,OUT027,2195.25
NCR42,OUT027,1955.25
FDD28,OUT035,1131.25
FDQ34,OUT049,1769.25
FDZ12,OUT027,3731.25
DRE13,OUT019,-508.75
NCN07,OUT019,203.25
FDM28,OUT035,3035.25
FDI10,OUT017,2883.25
FDQ25,OUT013,2763.75
FDA38,OUT010,1915.25
DRI13,OUT049,3481.25
FDY20,OUT027,2963.25
NCZ53,OUT035,3083.25
NCM31,OUT013,2243.75
DRB01,OUT017,3075.25
DRF37,OUT046,4103.25
NCF42,OUT049,2825.25
FDF16,OUT018,2089.25
FDB41,OUT013,843.75
FDR34,OUT013,3651.75
FDR15,OUT018,2237.25
NCV42,OUT019,-124.75
FDW51,OUT035,3555.25
FDU36,OUT017,1699.25
FDX60,OUT049,1417.25
FDY03,OUT035,2011.25
FDW55,OUT045,3913.5
FDT01,OUT010,1459.25
FDG58,OUT013,2507.75
FDK21,OUT017,4075.25
NCS41,OUT019,971.25
FDS10,OUT045,2841.5
NCT53,OUT046,2591.25
FDJ28,OUT018,2749.25
FDX44,OUT045,1385.5
FDT20,OUT018,377.25
FDO44,OUT017,1891.25
NCX17,OUT049,3737.25
FDY01,OUT017,2011.25
FDJ12,OUT027,4819.25
DRK35,OUT018,301.25
FDD47,OUT019,827.25
NCM53,OUT035,1803.25
FDO45,OUT013,1467.75
NCM42,OUT010,-204.75
FDE04,OUT046,2919.25
NCI30,OUT027,5315.25
FDZ19,OUT013,2779.75
FDW57,OUT013,2859.75
FDA25,OUT013,1699.75
FDT22,OUT046,999.25
FDP51,OUT013,1955.75
FDD48,OUT027,3331.25
FDY39,OUT035,3107.25
FDO48,OUT010,1639.25
FDD23,OUT027,4451.25
DRN35,OUT027,2035.25
FDT01,OUT035,3563.25
FDC20,OUT010,-992.75
DRJ35,OUT035,1147.25
FDB32,OUT046,1543.25
FDL24,OUT046,2823.25
NCV42,OUT035,1915.25
FDZ46,OUT046,1783.25
FDC15,OUT013,2467.75
FDD08,OUT019,-1212.75
FDY50,OUT049,1545.25
FDD36,OUT013,1923.75
FDG57,OUT027,2275.25
FDL21,OUT018,453.25
FDN16,OUT027,3139.25
FDJ09,OUT027,2227.25
FDS01,OUT010,947.25
FDV33,OUT017,4267.25
DRE12,OUT017,1915.25
FDR07,OUT013,1571.75
FDP48,OUT010,1047.25
NCB55,OUT035,1035.25
FDQ08,OUT013,1043.75
FDR34,OUT035,3851.25
FDO33,OUT046,1823.25
FDP13,OUT045,641.5
FDX12,OUT049,3977.25
NCT06,OUT049,2681.25
FDR16,OUT019,1555.25
FDE36,OUT046,2695.25
FDZ36,OUT049,3081.25
FDV13,OUT045,1425.5
NCZ17,OUT035,715.25
FDU56,OUT045,2873.5
FDM09,OUT035,2907.25
FDV02,OUT017,2859.25
FDS34,OUT018,1557.25
FDA11,OUT049,1657.25
FDP09,OUT017,3475.25
FDB29,OUT027,3331.25
FDT19,OUT017,2891.25
DRH15,OUT017,819.25
FDY38,OUT046,3751.25
FDF14,OUT027,3891.25
FDN48,OUT010,-404.75
FDQ12,OUT013,3659.75
NCJ43,OUT045,2649.5
FDE17,OUT019,603.25
FDB05,OUT035,4091.25
FDH10,OUT045,3017.5
NCR06,OUT017,763.25
FDU32,OUT018,1673.25
FDD56,OUT049,2889.25
FDO36,OUT018,2589.25
FDH16,OUT010,-428.75
FDX10,OUT018,357.25
FDZ37,OUT017,1595.25
FDU31,OUT010,1579.25
DRC49,OUT049,2313.25
FDL15,OUT045,2393.5
FDN32,OUT019,1099.25
DRH59,OUT027,2627.25
NCU29,OUT049,2393.25
FDR37,OUT019,1099.25
FDS14,OUT018,2221.25
FDU02,OUT027,5043.25
FDJ08,OUT035,3211.25
NCZ06,OUT045,3889.5
FDO31,OUT049,1465.25
FDH31,OUT018,1393.25
FDS58,OUT017,2715.25
NCA53,OUT027,2227.25
FDF50,OUT046,3159.25
NCW42,OUT049,3561.25
NCQ17,OUT045,2377.5
FDK51,OUT018,3889.25
NCW41,OUT010,535.25
NCR29,OUT017,979.25
FDB08,OUT019,675.25
FDA40,OUT027,2883.25
FDL14,OUT018,2269.25
FDB47,OUT046,3311.25
FDO03,OUT035,3819.25
DRK13,OUT019,1203.25
FDX13,OUT010,2011.25
FDF52,OUT046,2935.25
FDT11,OUT013,3051.75
FDB08,OUT013,2571.75
FDQ28,OUT018,2229.25
FDD29,OUT045,3953.5
NCQ29,OUT027,5523.25
NCO02,OUT013,1019.75
FDR56,OUT010,1215.25
NCM54,OUT049,2041.25
FDP51,OUT035,2075.25
FDT38,OUT013,1387.75
FDZ20,OUT018,3717.25
FDJ53,OUT013,1947.75
FDX13,OUT049,4041.25
FDP58,OUT035,3643.25
NCK31,OUT019,-1052.75
FDA35,OUT018,1725.25
FDV37,OUT018,2897.25
NCO07,OUT027,4787.25
FDA20,OUT045,2937.5
FDZ59,OUT035,2875.25
NCY17,OUT017,795.25
FDQ28,OUT035,2635.25
FDV35,OUT017,2571.25
FDQ36,OUT013,643.75
FDD34,OUT018,2321.25
FDK51,OUT045,4145.5
FDV31,OUT035,2947.25
FDR04,OUT035,1723.25
FDR14,OUT049,1001.25
DRC36,OUT010,851.25
FDE39,OUT019,75.25
FDP57,OUT049,1785.25
FDE57,OUT046,2287.25
NCN18,OUT046,1743.25
NCQ05,OUT018,2053.25
FDW47,OUT035,2091.25
FDV46,OUT035,2371.25
NCP29,OUT045,921.5
FDE09,OUT018,1501.25
NCU06,OUT027,5027.25
FDT19,OUT010,863.25
DRF15,OUT017,2507.25
DRI51,OUT013,2667.75
NCX54,OUT013,1627.75
DRE01,OUT013,3763.75
NCB07,OUT045,2985.5
FDU50,OUT035,2035.25
FDG40,OUT035,755.25
FDW10,OUT018,2501.25
FDX51,OUT013,3139.75
NCP17,OUT045,937.5
FDP21,OUT035,3187.25
FDL04,OUT045,1641.5
FDV23,OUT013,1979.75
FDF24,OUT046,1383.25
FDH56,OUT027,3331.25
FDB51,OUT049,1129.25
FDI58,OUT027,3027.25
FDR20,OUT013,843.75
FDC51,OUT018,1733.25
FDB16,OUT027,2867.25
FDE40,OUT049,1129.25
NCM17,OUT035,843.25
FDU56,OUT035,3107.25
FDS32,OUT019,435.25
FDX02,OUT049,3641.25
FDT39,OUT027,3939.25
FDE35,OUT017,1107.25
NCI42,OUT019,1411.25
DRL23,OUT046,1687.25
FDA10,OUT046,1967.25
FDA11,OUT013,1563.75
NCM06,OUT046,2423.25
NCT05,OUT035,4171.25
NCQ02,OUT010,991.25
NCY06,OUT049,2105.25
FDY56,OUT035,3755.25
FDL02,OUT035,1867.25
NCI06,OUT035,2939.25
FDQ14,OUT045,2353.5
FDQ12,OUT017,3739.25
FDP36,OUT046,871.25
FDK21,OUT027,5427.25
FDO40,OUT045,2313.5
NCK54,OUT019,-28.75
FDY09,OUT018,2529.25
NCW30,OUT049,4169.25
NCC55,OUT027,2019.25
FDE58,OUT018,1597.25
FDR39,OUT013,2931.75
FDU28,OUT049,3097.25
FDH08,OUT017,3739.25
FDG35,OUT045,2785.5
FDG22,OUT049,745.25
FDC34,OUT035,2675.25
FDP15,OUT018,3733.25
FDK34,OUT010,1875.25
FDU45,OUT035,2059.25
FDQ04,OUT027,2131.25
FDX22,OUT018,3081.25
FDB45,OUT017,1795.25
NCH43,OUT027,4835.25
DRE60,OUT046,3511.25
FDD17,OUT027,5187.25
NCM54,OUT017,2099.25
NCH55,OUT013,1987.75
NCT06,OUT017,2691.25
FDA48,OUT027,4947.25
FDY58,OUT027,5075.25
FDO25,OUT045,3289.5
FDN50,OUT045,1529.5
FDH35,OUT035,2779.25
FDK09,OUT045,3545.5
FDO16,OUT013,1363.75
FDW11,OUT045,1009.5
FDU47,OUT027,3731.25
NCQ42,OUT010,83.25
FDK55,OUT027,2915.25
FDN08,OUT049,2009.25
FDT57,OUT045,3721.5
FDJ12,OUT018,3045.25
DRL59,OUT017,955.25
NCN53,OUT046,575.25
FDO51,OUT010,-1128.75
FDK56,OUT017,3099.25
FDY12,OUT035,1059.25
FDU15,OUT035,827.25
FDQ19,OUT046,3903.25
DRF15,OUT045,2361.5
DRE25,OUT019,-428.75
FDK57,OUT018,1625.25
FDD33,OUT010,1735.25
FDR34,OUT027,5123.25
FDU04,OUT045,1913.5
FDE35,OUT019,-820.75
NCD31,OUT035,2699.25
FDJ56,OUT035,1755.25
NCU53,OUT046,2583.25
FDD39,OUT035,3563.25
NCU17,OUT019,-268.75
FDJ20,OUT046,2023.25
NCW41,OUT018,2157.25
FDL52,OUT035,859.25
FDS39,OUT035,2427.25
DRJ47,OUT045,2673.5
FDP13,OUT010,-1208.75
DRK39,OUT010,-616.75
FDF28,OUT010,147.25
FDB09,OUT045,1961.5
FDM51,OUT046,1679.25
DRM49,OUT018,453.25
DRF23,OUT013,2755.75
DRH01,OUT035,2851.25
FDH12,OUT027,3187.25
FDA28,OUT019,179.25
FDW37,OUT018,1165.25
FDF02,OUT046,1687.25
DRL37,OUT046,711.25
NCF43,OUT046,2223.25
FDH08,OUT010,1707.25
FDR34,OUT019,1811.25
NCK19,OUT049,3129.25
NCD55,OUT018,381.25
FDT27,OUT049,3833.25
FDQ57,OUT045,2313.5
FDA47,OUT035,2779.25
DRG15,OUT027,2451.25
FDE05,OUT018,2081.25
FDN46,OUT046,1671.25
FDX27,OUT027,2995.25
FDT51,OUT045,1785.5
FDU33,OUT013,795.75
FDJ16,OUT027,2435.25
FDD20,OUT019,107.25
FDT36,OUT049,681.25
DRF15,OUT027,3843.25
FDN52,OUT010,-464.75
FDC22,OUT027,4515.25
FDX15,OUT045,2497.5
FDT13,OUT013,2987.75
FDU04,OUT017,2075.25
FDU31,OUT019,1611.25
FDW59,OUT027,2851.25
NCO29,OUT046,2591.25
FDL15,OUT035,2587.25
FDI41,OUT049,2457.25
FDQ48,OUT049,1737.25
DRI39,OUT013,875.75
FDI08,OUT013,4003.75
FDC21,OUT049,1913.25
FDF58,OUT035,1195.25
FDS08,OUT010,919.25
FDE47,OUT045,1929.5
NCP18,OUT019,507.25
NCR41,OUT013,1515.75
FDA27,OUT013,4059.75
FDA43,OUT035,3243.25
FDA49,OUT045,1361.5
NCE55,OUT018,2473.25
DRM49,OUT027,2211.25
FDF22,OUT027,4851.25
FDQ15,OUT018,1045.25
NCS54,OUT017,2843.25
NCY05,OUT013,571.75
FDR45,OUT046,3815.25
FDK57,OUT049,2041.25
FDF41,OUT010,1987.25
FDV21,OUT046,2023.25
FDD51,OUT046,783.25
FDF33,OUT046,1799.25
FDA38,OUT046,3807.25
FDR56,OUT045,3089.5
NCN41,OUT017,2011.25
FDC60,OUT027,2915.25
FDB47,OUT045,3249.5
DRH01,OUT013,2739.75
FDW08,OUT046,1703.25
FDF38,OUT027,2163.25
FDY32,OUT017,2707.25
FDG34,OUT049,1913.25
FDG47,OUT019,2251.25
NCF18,OUT035,3099.25
FDL39,OUT019,1051.25
NCH55,OUT035,2123.25
DRJ35,OUT049,1065.25
FDS44,OUT035,3963.25
DRE01,OUT018,3461.25
FDY39,OUT013,2979.75
FDY32,OUT018,2285.25
FDR33,OUT027,3251.25
NCP50,OUT049,1369.25
FDZ47,OUT018,1337.25
FDU57,OUT049,2569.25
FDY44,OUT013,3139.75
DRH59,OUT018,877.25
FDB03,OUT027,5283.25
FDY46,OUT045,2921.5
FDM39,OUT045,2777.5
FDY36,OUT035,1395.25
NCM55,OUT035,3019.25
FDJ50,OUT010,-1020.75
DRL60,OUT013,2371.75
NCJ54,OUT049,3705.25
FDX59,OUT017,715.25
FDI07,OUT013,3211.75
DRF51,OUT010,-1316.75
FDM14,OUT017,1899.25
FDP21,OUT045,2985.5
FDE40,OUT035,1227.25
FDE05,OUT035,2547.25
FDM13,OUT027,3587.25
FDC34,OUT027,3971.25
NCI55,OUT018,1625.25
NCE43,OUT018,2329.25
FDW58,OUT018,1445.25
FDG60,OUT045,3657.5
FDV31,OUT017,2923.25
FDR47,OUT013,3083.75
FDM60,OUT019,-1132.75
NCF06,OUT018,3741.25
NCN26,OUT027,3283.25
FDQ59,OUT049,1529.25
FDF09,OUT046,663.25
NCS06,OUT017,4243.25
FDT44,OUT046,1911.25
FDI19,OUT017,3979.25
FDT22,OUT017,1107.25
NCF54,OUT027,4115.25
DRG25,OUT045,2873.5
FDB59,OUT017,3259.25
FDQ37,OUT017,3203.25
FDP56,OUT035,971.25
FDW44,OUT035,2939.25
FDJ26,OUT010,1519.25
FDU43,OUT018,3501.25
FDW33,OUT045,1641.5
NCX53,OUT027,3683.25
FDN56,OUT010,447.25
DRF15,OUT049,2489.25
FDO33,OUT017,1955.25
FDZ39,OUT010,-196.75
NCJ19,OUT017,971.25
FDU01,OUT035,3131.25
FDT12,OUT035,3747.25
NCM18,OUT018,673.25
FDP19,OUT017,2171.25
NCR42,OUT049,617.25
FDN10,OUT046,1935.25
FDG44,OUT017,1035.25
FDQ10,OUT046,2759.25
DRH13,OUT049,1769.25
FDT52,OUT013,3923.75
FDM56,OUT045,1737.5
NCO43,OUT010,-332.75
NCV29,OUT035,2923.25
NCF06,OUT013,4059.75
FDO50,OUT035,1643.25
FDT59,OUT013,3651.75
FDX40,OUT027,2083.25
FDE50,OUT017,3115.25
FDX51,OUT017,3291.25
NCD30,OUT018,1245.25
FDK15,OUT013,1627.75
FDL12,OUT045,993.5
FDK46,OUT017,4219.25
DRH49,OUT010,-640.75
FDQ57,OUT046,2375.25
FDY59,OUT017,1643.25
FDO09,OUT018,3869.25
NCG30,OUT035,2107.25
FDM09,OUT017,2835.25
NCN17,OUT027,3027.25
NCS42,OUT013,1403.75
FDD02,OUT019,19.25
FDE34,OUT013,2899.75
FDU38,OUT045,3009.5
FDB33,OUT046,2535.25
NCJ29,OUT017,1475.25
FDZ27,OUT035,979.25
FDI40,OUT013,1651.75
FDG22,OUT013,699.75
FDT51,OUT017,1947.25
FDF20,OUT018,2869.25
FDV50,OUT035,2107.25
FDT02,OUT049,729.25
DRC49,OUT017,2387.25
FDF26,OUT049,2569.25
FDV52,OUT035,2091.25
FDX59,OUT049,713.25
FDV25,OUT035,3683.25
FDW23,OUT027,2115.25
FDE53,OUT018,1457.25
FDA19,OUT017,2211.25
FDH22,OUT046,2039.25
NCO41,OUT013,1531.75
FDX12,OUT017,3971.25
FDF17,OUT013,3139.75
FDS11,OUT045,3513.5
FDR51,OUT035,2571.25
FDT49,OUT010,-224.75
FDC56,OUT013,1931.75
FDR13,OUT027,3379.25
FDQ60,OUT035,2123.25
FDN38,OUT049,4057.25
NCL29,OUT013,2451.75
FDO13,OUT027,4067.25
FDE26,OUT018,2009.25
FDA31,OUT010,823.25
FDX14,OUT035,1387.25
FDA34,OUT045,2729.5
FDF26,OUT013,2491.75
FDE38,OUT045,2617.5
DRI11,OUT046,1807.25
FDQ60,OUT027,3395.25
FDL21,OUT027,2179.25
DRC12,OUT027,4451.25
FDC47,OUT046,3615.25
FDE57,OUT045,2201.5
FDT14,OUT045,1913.5
NCZ53,OUT046,2975.25
FDE28,OUT018,3381.25
FDR19,OUT035,2483.25
NCF54,OUT019,835.25
FDZ08,OUT046,1375.25
NCJ05,OUT018,2109.25
FDF59,OUT046,2055.25
NCO05,OUT035,1723.25
FDW24,OUT018,553.25
NCX42,OUT018,2309.25
NCA53,OUT035,915.25
FDI45,OUT019,955.25
FDG46,OUT046,1887.25
FDM20,OUT010,1935.25
FDW11,OUT010,-892.75
FDX08,OUT035,3019.25
NCK17,OUT035,795.25
FDK32,OUT018,2169.25
NCA42,OUT035,2651.25
DRI01,OUT035,2835.25
NCL55,OUT049,4041.25
DRE25,OUT018,1193.25
FDD14,OUT017,3019.25
FDB10,OUT046,3751.25
DRN11,OUT035,2411.25
FDP38,OUT018,573.25
NCA30,OUT017,3035.25
FDT15,OUT017,3091.25
NCP55,OUT018,605.25
FDF12,OUT035,2531.25
FDM21,OUT018,3757.25
FDX56,OUT035,3451.25
FDF10,OUT017,2459.25
FDT32,OUT045,3001.5
FDM51,OUT018,1393.25
NCR50,OUT018,2117.25
FDI19,OUT049,3929.25
FDX21,OUT017,1859.25
FDR31,OUT035,2523.25
FDY02,OUT013,4171.75
NCA29,OUT045,2617.5
NCX17,OUT046,3607.25
FDM12,OUT045,3009.5
FDI53,OUT027,4035.25
NCU30,OUT049,2665.25
FDC56,OUT027,3395.25
FDK27,OUT018,1697.25
NCK18,OUT017,2715.25
FDB52,OUT019,2211.25
DRG25,OUT027,4403.25
FDZ13,OUT049,985.25
FDB57,OUT019,1723.25
FDR40,OUT046,1415.25
NCO14,OUT019,-1164.75
NCN19,OUT045,2921.5
FDQ28,OUT019,643.25
FDO13,OUT018,2341.25
FDK48,OUT013,1275.75
FDU07,OUT018,2149.25
FDW20,OUT046,2007.25
FDV12,OUT010,-284.75
FDH24,OUT013,2531.75
FDV59,OUT049,3529.25
FDK57,OUT045,1881.5
FDL16,OUT027,2211.25
NCQ17,OUT046,2431.25
FDJ15,OUT018,2697.25
FDX24,OUT049,1625.25
FDT47,OUT046,1631.25
FDT10,OUT049,1145.25
FDZ37,OUT018,1185.25
FDW43,OUT027,5139.25
DRN36,OUT017,1627.25
FDJ14,OUT045,1305.5
FDA32,OUT013,3451.75
FDJ38,OUT019,1195.25
FDQ57,OUT017,2475.25
NCQ41,OUT019,1155.25
FDG56,OUT049,1129.25
DRC13,OUT027,3443.25
FDV55,OUT035,2467.25
FDQ49,OUT045,2497.5
FDE29,OUT010,-936.75
FDR03,OUT013,3315.75
FDD45,OUT049,1593.25
FDN38,OUT010,2059.25
FDT56,OUT046,1015.25
FDT48,OUT045,3129.5
FDU03,OUT049,3001.25
FDC56,OUT010,-16.75
NCO43,OUT027,2995.25
FDQ27,OUT017,1803.25
FDR03,OUT046,3327.25
DRH23,OUT010,-1092.75
FDG22,OUT045,649.5
NCJ42,OUT013,1619.75
FDR24,OUT046,1527.25
FDW60,OUT035,3003.25
FDJ08,OUT013,3019.75
DRL59,OUT018,545.25
FDG60,OUT010,1759.25
FDW27,OUT017,2635.25
FDX14,OUT018,973.25
FDC20,OUT013,947.75
NCS29,OUT018,3813.25
FDJ56,OUT046,1631.25
FDB20,OUT019,-604.75
FDL28,OUT027,5107.25
FDW01,OUT018,2133.25
FDL03,OUT046,3191.25
FDX22,OUT049,3465.25
FDJ21,OUT035,2507.25
FDR31,OUT045,2353.5
FDG21,OUT035,2603.25
FDS22,OUT027,2227.25
FDK08,OUT035,1795.25
FDE17,OUT018,2165.25
NCN30,OUT017,1611.25
FDT50,OUT046,1631.25
NCX42,OUT049,2649.25
FDJ12,OUT035,3499.25
NCA18,OUT027,3283.25
FDP23,OUT019,1579.25
FDX12,OUT013,3867.75
FDN40,OUT018,2149.25
FDV48,OUT035,1467.25
NCY54,OUT013,2659.75
FDL16,OUT010,-1168.75
FDR45,OUT018,3513.25
